time;hr
1508823000;51
1508823120;45
1508823240;71
1508823360;73
1508823480;48
1508823600;59
1508823720;42
1508823840;63
1508823960;66
1508824080;56
1508824200;66
1508824320;68
1508824440;42
1508824560;69
1508824680;69
1508824800;62
1508825040;75
1508825160;77
1508825280;54
1508825520;56
1508825640;75
1508825760;56
1508826000;52
1508826120;61
1508826240;49
1508826360;53
1508826480;55
1508826600;55
1508826720;48
1508826840;78
1508826960;51
1508827080;55
1508827200;54
1508827320;56
1508827440;61
1508827560;47
1508827800;47
1508827920;54
1508828040;72
1508828160;49
1508828280;56
1508828400;78
1508828520;54
1508888820;58
1508888940;64
1508889180;61
1508889300;67
1508889420;59
1508889540;55
1508889660;51
1508889780;62
1508889900;68
1508890020;62
1508890260;62
1508890380;58
1508890620;57
1508890740;56
1508890860;56
1508890980;52
1508891100;51
1508891220;46
1508891340;51
1508891460;54
1508891700;51
1508891820;51
1508891940;51
1508892060;51
1508892180;46
1508892300;54
